is_anomaly,Net_Sales,Profit_Margin_Pct,Order_ID,Product_Name,anomaly_reason,Order_Date,Customer_Name,Quantity,Discount_Pct,Profit
0,287,20.466898954703836,ORD-0001,P-002,,2026-08-25,CUST-002,5,0,58.74
0,324,19.28395061728395,ORD-0002,P-003,,2026-08-26,CUST-003,6,0,62.48
0,361,18.34349030470914,ORD-0003,P-004,,2026-08-27,CUST-004,7,0,66.22
0,398,17.577889447236178,ORD-0004,P-005,,2026-08-28,CUST-005,8,0,69.96
0,335,22.0,ORD-0005,P-006,,2026-08-29,CUST-006,9,0,73.7
0,372,20.817204301075268,ORD-0006,P-007,,2026-08-30,CUST-007,10,0,77.44
0,409,19.84841075794621,ORD-0007,P-008,,2026-08-31,CUST-008,4,0,81.18
0,446,19.04035874439462,ORD-0008,P-009,,2026-09-01,CUST-009,5,0,84.92
0,483,18.35610766045549,ORD-0009,P-010,,2026-09-02,CUST-010,6,0,88.66
0,420,22.0,ORD-0010,P-011,,2026-09-03,CUST-011,7,0,92.4
0,457,21.03719912472648,ORD-0011,P-012,,2026-09-04,CUST-012,8,0,96.14
0,494,20.21862348178137,ORD-0012,P-013,,2026-09-05,CUST-013,9,0,99.88
0,531,19.51412429378531,ORD-0013,P-014,,2026-09-06,CUST-014,10,0,103.62
0,568,18.901408450704224,ORD-0014,P-015,,2026-09-07,CUST-015,4,0,107.36
0,505,22.0,ORD-0015,P-016,,2026-09-08,CUST-016,5,0,111.1
0,542,21.18819188191882,ORD-0016,P-017,,2026-09-09,CUST-017,6,0,114.84
0,579,20.48013816925734,ORD-0017,P-018,,2026-09-10,CUST-018,7,0,118.58
0,616,19.857142857142858,ORD-0018,P-019,,2026-09-11,CUST-019,8,0,122.32
0,653,19.304747320061256,ORD-0019,P-020,,2026-09-12,CUST-020,9,0,126.06
0,590,22.000000000000004,ORD-0020,P-001,,2026-09-13,CUST-021,10,0,129.8
0,627,21.29824561403509,ORD-0021,P-002,,2026-09-14,CUST-022,4,0,133.54
0,664,20.674698795180724,ORD-0022,P-003,,2026-09-15,CUST-023,5,0,137.28
0,701,20.116975748930106,ORD-0023,P-004,,2026-09-16,CUST-024,6,0,141.02
0,738,19.61517615176152,ORD-0024,P-005,,2026-09-17,CUST-025,7,0,144.76
0,675,22.0,ORD-0025,P-006,,2026-09-18,CUST-001,8,0,148.5
0,712,21.38202247191012,ORD-0026,P-007,,2026-09-19,CUST-002,9,0,152.24
0,749,20.82510013351135,ORD-0027,P-008,,2026-09-20,CUST-003,10,0,155.98
1,786,20.3206106870229,ORD-0028,P-009,High-value sales outlier,2026-09-21,CUST-004,4,0,159.72
1,823,19.861482381530983,ORD-0029,P-010,High-value sales outlier,2026-09-22,CUST-005,5,0,163.46
0,760,22.0,ORD-0030,P-011,,2026-09-23,CUST-006,6,0,167.2
